District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
West,Rural,100,48.3,1.8,87.1,701512.0,1809.0,699703.0,0.483,0.0,0.018000000000000002,0.0,0.871,0.0,1575.639,609441.313
West,Total,100,28.9,2.8,89.9,701512.0,1809.0,699703.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.291,629032.997
West,Urban,100,28.8,2.8,89.9,701512.0,1809.0,699703.0,0.0,0.28800000000000003,0.0,0.027999999999999997,0.0,0.899,1626.291,629032.997
South West,Rural,100,35.5,3.3,87.7,647682.0,41179.0,606503.0,0.355,0.0,0.033,0.0,0.877,0.0,36113.983,531903.131
South West,Total,100,28.1,2.6,91.0,647682.0,41179.0,606503.0,0.0,0.0,0.0,0.0,0.0,0.0,37472.89,551917.73
South West,Urban,100,27.7,2.6,91.2,647682.0,41179.0,606503.0,0.0,0.277,0.0,0.026000000000000002,0.0,0.912,37555.248,553130.736
South,Rural,100,41.3,4.6,90.6,731063.0,2918.0,728145.0,0.413,0.0,0.046,0.0,0.9059999999999999,0.0,2643.7079999999996,659699.37
South,Total,100,30.4,2.9,88.0,731063.0,2918.0,728145.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.84,640767.6
South,Urban,100,30.3,2.9,88.0,731063.0,2918.0,728145.0,0.0,0.303,0.0,0.028999999999999998,0.0,0.88,2567.84,640767.6
Ganganagar,Rural,100,42.1,2.5,81.3,562594.0,397697.0,164897.0,0.42100000000000004,0.0,0.025,0.0,0.813,0.0,323327.66099999996,134061.261
Ganganagar,Total,100,39.3,2.7,84.7,562594.0,397697.0,164897.0,0.0,0.0,0.0,0.0,0.0,0.0,336849.359,139667.759
Ganganagar,Urban,100,32.2,3.3,93.6,562594.0,397697.0,164897.0,0.0,0.322,0.0,0.033,0.0,0.9359999999999999,372244.392,154343.592
Hanumangarh,Rural,100,36.8,2.4,82.3,497753.0,389059.0,108694.0,0.368,0.0,0.024,0.0,0.823,0.0,320195.557,89455.162
Hanumangarh,Total,100,35.9,2.5,84.6,497753.0,389059.0,108694.0,0.0,0.0,0.0,0.0,0.0,0.0,329143.914,91955.124
Hanumangarh,Urban,100,32.2,3.1,93.9,497753.0,389059.0,108694.0,0.0,0.322,0.0,0.031000000000000003,0.0,0.9390000000000001,365326.401,102063.66600000001
Bikaner,Rural,100,50.6,4.9,29.5,531933.0,335754.0,196179.0,0.506,0.0,0.049,0.0,0.295,0.0,99047.43,57872.805
Bikaner,Total,100,42.3,3.8,51.9,531933.0,335754.0,196179.0,0.0,0.0,0.0,0.0,0.0,0.0,174256.326,101816.901
Bikaner,Urban,100,27.3,1.7,92.6,531933.0,335754.0,196179.0,0.0,0.273,0.0,0.017,0.0,0.9259999999999999,310908.20399999997,181661.754
Churu,Rural,100,39.2,5.8,47.0,493893.0,344897.0,148996.0,0.392,0.0,0.057999999999999996,0.0,0.47000000000000003,0.0,162101.59,70028.12
Churu,Total,100,36.8,4.9,57.8,493893.0,344897.0,148996.0,0.0,0.0,0.0,0.0,0.0,0.0,199350.466,86119.688
Churu,Urban,100,30.4,2.2,87.5,493893.0,344897.0,148996.0,0.0,0.304,0.0,0.022000000000000002,0.0,0.875,301784.875,130371.5
Jhunjhunun,Rural,100,24.4,2.4,45.7,650809.0,500452.00000000006,172714.75617792422,0.244,0.0,0.024,0.0,0.457,0.0,228706.56400000004,78930.64357331138
Jhunjhunun,Total,100,24.6,2.3,53.6,650809.0,500452.00000000006,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,268242.27200000006,92575.10931136739
Jhunjhunun,Urban,100,25.4,1.8,82.5,650809.0,500452.00000000006,172714.75617792422,0.0,0.254,0.0,0.018000000000000002,0.0,0.8250000000000001,412872.9,142489.67384678748
