District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Barddhaman,1364868,707001,128297,629204,862368,329424,54329,616593
Nadia,1081381,582864,168695,771024,468390,192976,49649,437007
North Twenty Four Parganas,1209337,559923,238239,954166,1649803,551034,89089,1550814
Hugli,992085,451398,116073,596243,647953,218360,34341,575382
Bankura,900515,471869,105360,148584,90885,35263,8088,54894
Puruliya,653219,409568,48338,39846,99433,43253,6662,50611
Haora,483384,195287,67190,290997,869313,305998,56505,725876
South Twenty Four Parganas,1568802,782832,254145,862841,611430,235400,49525,508098
Paschim Medinipur,1364335,712182,180092,571656,201048,65943,16686,155209
Purba Medinipur,1193006,584572,215934,1021213,170707,59406,17241,141345
Garhwa,272872,170272,12552,13370,19180,8535,1304,8880
Chatra,200974,115560,9043,13264,14528,6740,595,9544
Kodarma,116714,61041,4901,8870,34771,15542,1877,17489
Giridih,452564,242574,14029,26248,46886,17347,1594,28741
Deoghar,257373,155968,13126,14155,64337,24062,2702,43942
Godda,276454,173336,25433,21839,15576,5731,654,10108
Sahibganj,223450,145465,16311,20557,37543,17457,2928,20385
Pakur,200588,120152,14241,14642,16587,7746,945,7712
Dhanbad,258764,135074,12161,31569,405455,180427,15812,240434
Bokaro,250312,125906,10262,16520,258452,94851,8270,162049
Lohardaga,96759,60474,2709,7063,14725,5330,647,10381
Purbi Singhbhum,262537,133893,15227,35705,342126,88268,7868,276095
Palamu,355529,223272,22398,26309,52375,21002,2828,30534
Latehar,146377,84898,3220,10539,14137,5739,706,7888
Hazaribagh,312983,151796,10328,29107,68765,22761,2062,50542
Ramgarh,134067,67167,5094,14747,118558,47186,4268,71134
Dumka,303697,194062,18221,18829,23281,7799,1164,14946
Jamtara,165555,103637,8112,7284,20113,6737,663,12087
Ranchi,420740,231407,12622,55537,310242,98656,12719,245401
Khunti,0,0,0,0,0,0,0,0
Gumla,216629,137126,6282,13864,16445,6314,822,11264
Simdega,144169,85924,4180,7064,11114,4445,444,5934
Pashchimi Singhbhum,336928,171496,13477,12466,63396,23773,2852,37340
Saraikela-Kharsawan,217248,116227,7820,13903,68439,25048,2326,44143
Bargarh,411566,275337,34983,50622,47395,22133,2227,25688
Jharsuguda,103224,73805,6090,9703,73962,33652,4141,39643
Sambalpur,220697,153825,17214,18979,94798,39056,4929,56404
Debagarh,91408,68556,12248,5393,7350,4579,404,3770
Sundargarh,387911,294424,22498,32584,230151,107940,10126,150748
Kendujhar,490634,343443,42194,45628,83664,40828,6442,42501
Mayurbhanj,689110,499604,59263,103366,64479,28241,5222,41266
Baleshwar,601154,373316,69733,136461,82440,34789,5935,56059
Bhadrak,373862,240393,33273,59817,54244,28586,4014,28098
Kendrapara,414749,236406,31106,65530,23494,10478,2067,13579
Jagatsinghapur,309685,177449,21987,68440,43047,24622,1592,19285
Cuttack,579529,318740,58532,129814,210768,77141,13489,164399
Jajapur,495611,286463,72359,98626,45528,19531,3186,27863
Dhenkanal,315390,206580,36269,44785,36979,15457,2810,22113
Anugul,340410,219224,40849,56848,74177,28780,4895,47473
Nayagarh,261646,168238,31920,41601,26688,12943,2028,14891
Khordha,331834,207064,28205,60725,356895,130623,18201,273381
Puri,402014,257690,45025,62714,72210,33505,4188,52929
Ganjam,795476,490013,75570,151935,219918,87747,11435,143606
Gajapati,152095,101903,8973,19316,23050,9381,1152,13069
Kandhamal,218446,150290,14417,13762,24489,11387,1567,13836
Baudh,131377,98664,6174,11823,6577,3689,355,3374
Subarnapur,176927,130925,12738,13977,16575,10177,961,6464
Balangir,476770,327064,33373,48153,62192,29168,4229,36133
Nuapada,197258,143801,9468,25051,11869,6254,771,5744
Kalahandi,456336,320804,42895,37419,38412,18360,2650,22586
